application,dataset_seed,infrastructure,infra_size,task,security_threshold,original_considered,non_cloud_candidates,filtered_by_sw,filtered_by_service,cloud_filtered_by_service,filtered_by_security,total_candidates,cloud_candidates,filtered_by_hw
mediaOrch,146588263,infrastructure_70,70,fArchive,0.66,70,58,12,,,0,88,30,
mediaOrch,146588263,infrastructure_75,75,fDocAnalysis,1.0,75,132,23,,,0,186,54,8
mediaOrch,146588263,infrastructure_75,75,fProcDoc,1.0,75,216,21,,,0,288,72,
mediaOrch,146588263,infrastructure_75,75,fPayAppr,0.66,75,52,23,,,0,82,30,
mediaOrch,146588263,infrastructure_75,75,fNotify,0.66,75,52,23,,,0,88,36,
mediaOrch,146588263,infrastructure_75,75,fArchive,0.66,75,52,23,,,0,82,30,
mediaOrch,146588263,infrastructure_80,80,fDocAnalysis,1.0,80,100,21,,,0,136,36,9
mediaOrch,146588263,infrastructure_80,80,fProcDoc,1.0,80,220,25,,,0,292,72,
mediaOrch,146588263,infrastructure_80,80,fPayAppr,0.66,80,59,21,,,0,89,30,
mediaOrch,146588263,infrastructure_80,80,fNotify,0.66,80,59,21,,,0,95,36,
mediaOrch,146588263,infrastructure_80,80,fArchive,0.66,80,59,21,,,0,89,30,
mediaOrch,146588263,infrastructure_85,85,fDocAnalysis,1.0,85,100,21,,,0,136,36,14
mediaOrch,146588263,infrastructure_85,85,fProcDoc,1.0,85,248,23,,,0,320,72,
mediaOrch,146588263,infrastructure_85,85,fPayAppr,0.66,85,64,21,,,0,94,30,
mediaOrch,146588263,infrastructure_85,85,fNotify,0.66,85,64,21,,,0,100,36,
mediaOrch,146588263,infrastructure_85,85,fArchive,0.66,85,64,21,,,0,94,30,
mediaOrch,146588263,infrastructure_90,90,fDocAnalysis,1.0,90,102,29,,,0,138,36,10
mediaOrch,146588263,infrastructure_90,90,fProcDoc,1.0,90,240,30,,,0,312,72,
mediaOrch,146588263,infrastructure_90,90,fPayAppr,0.66,90,61,29,,,0,91,30,
mediaOrch,146588263,infrastructure_90,90,fNotify,0.66,90,61,29,,,0,97,36,
mediaOrch,146588263,infrastructure_90,90,fArchive,0.66,90,61,29,,,0,91,30,
mediaOrch,146588263,infrastructure_95,95,fDocAnalysis,1.0,95,174,21,,,0,228,54,16
mediaOrch,146588263,infrastructure_95,95,fProcDoc,1.0,95,192,31,,,0,246,54,
mediaOrch,146588263,infrastructure_95,95,fPayAppr,0.66,95,74,21,,,0,104,30,
mediaOrch,146588263,infrastructure_95,95,fNotify,0.66,95,74,21,,,0,110,36,
mediaOrch,146588263,infrastructure_95,95,fArchive,0.66,95,74,21,,,0,104,30,
mediaOrch,146588263,infrastructure_100,100,fDocAnalysis,1.0,100,122,28,,,0,158,36,11
mediaOrch,146588263,infrastructure_100,100,fProcDoc,1.0,100,144,28,,,0,180,36,
mediaOrch,146588263,infrastructure_100,100,fPayAppr,0.66,100,72,28,,,0,102,30,
mediaOrch,146588263,infrastructure_100,100,fNotify,0.66,100,72,28,,,0,108,36,
mediaOrch,146588263,infrastructure_100,100,fArchive,0.66,100,72,28,,,0,102,30,
mediaOrch,146588263,infrastructure_105,105,fDocAnalysis,1.0,105,136,25,,,0,172,36,12
mediaOrch,146588263,infrastructure_105,105,fProcDoc,1.0,105,231,28,,,0,285,54,
mediaOrch,146588263,infrastructure_105,105,fPayAppr,0.66,105,80,25,,,0,110,30,
mediaOrch,146588263,infrastructure_105,105,fNotify,0.66,105,80,25,,,0,116,36,
